mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29.28602452278137,0.5703708512018415,5.98093318939209,0.23328479853315592,0.101,balanced,scale,sigmoid,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9278033794162827,0.9287925696594427,0.9139280125195618,0.9292307692307692,0.8979591836734694,0.9195427828999051,0.012206805405524348,119
15.939404964447021,0.1971711388001962,3.194419527053833,0.03131343975572435,0.101,balanced,auto,linear,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.4153609752655,0.25795665925473527,8.762706995010376,0.8768604163916351,0.101,balanced,auto,poly,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.034383954154727794,0.04011461318051576,0.017391304347826087,0.023054755043227664,0.04,0.03098892534525946,0.009207064903523342,199
41.407717657089236,0.42024656003550614,13.258174324035645,0.353420998346534,0.101,balanced,auto,rbf,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.8963317384370016,0.867430441898527,0.8543046357615894,0.8966613672496025,0.830820770519263,0.8691097907731967,0.025251477978577404,143
29.100677824020387,0.7183134352072871,6.223031139373779,0.49371842702447094,0.101,balanced,auto,sigmoid,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9278033794162827,0.9287925696594427,0.9139280125195618,0.9292307692307692,0.8979591836734694,0.9195427828999051,0.012206805405524348,119
16.237009954452514,0.5099294556264415,3.3701608657836912,0.097523133530841,0.201,,scale,linear,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
46.45601539611816,0.6521755825099822,8.884175062179565,0.32274876863628515,0.201,,scale,poly,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.045584045584045586,0.034482758620689655,0.017391304347826087,0.034383954154727794,0.045584045584045586,0.03548522165826694,0.010330344188466227,197
34.96266145706177,0.6231759353582885,11.40207896232605,0.2145185463479872,0.201,,scale,rbf,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.859504132231405,0.8378378378378378,0.823327615780446,0.869281045751634,0.8034782608695652,0.8386857784941777,0.023856385700558397,145
22.013740396499635,1.1045050783680272,4.641132640838623,0.21661699975038504,0.201,,scale,sigmoid,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9237947122861586,0.9199372056514914,0.8980891719745223,0.9273570324574961,0.8938193343898574,0.9125994913519051,0.01385787650648619,133
15.827960968017578,0.12403415489566838,3.2676549434661863,0.07370923460363955,0.201,,auto,linear,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.061449956893924,0.8638049664086039,8.504075002670287,0.3402623787883653,0.201,,auto,poly,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.045584045584045586,0.034482758620689655,0.017391304347826087,0.034383954154727794,0.045584045584045586,0.03548522165826694,0.010330344188466227,197
34.56543521881103,0.5098541153756164,10.720236110687257,0.11993109344105049,0.201,,auto,rbf,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.859504132231405,0.8378378378378378,0.823327615780446,0.869281045751634,0.8034782608695652,0.8386857784941777,0.023856385700558397,145
21.410444211959838,1.2008184584147836,4.693336868286133,0.11347214056238503,0.201,,auto,sigmoid,"{'svm__C': 0.201, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9237947122861586,0.9199372056514914,0.8980891719745223,0.9273570324574961,0.8938193343898574,0.9125994913519051,0.01385787650648619,133
15.837633514404297,0.15949242372545258,3.222298765182495,0.061238535760476,0.201,balanced,scale,linear,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
49.15192484855652,0.569233397897463,8.8155526638031,0.6920922932898596,0.201,balanced,scale,poly,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.10497237569060773,0.10526315789473684,0.06779661016949153,0.1307901907356948,0.12568306010928962,0.1069010789199641,0.022176630214841748,193
40.39097237586975,0.28688344801316673,11.364508771896363,0.3049193100710611,0.201,balanced,scale,rbf,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.924031007751938,0.9125,0.9027113237639554,0.9323076923076923,0.8821656050955414,0.9107431257838254,0.017469227091934655,135
24.00772633552551,2.2609071536693532,5.028734254837036,0.10825843853217298,0.201,balanced,scale,sigmoid,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9351432880844646,0.9361702127659575,0.9235474006116208,0.9491017964071856,0.9218989280245024,0.9331723251787463,0.009862542620431309,39
16.142643785476686,0.2064153948074775,3.357490062713623,0.0762425792418004,0.201,balanced,auto,linear,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.7648202419281,0.6885713077285028,8.822430610656738,0.5775069183018776,0.201,balanced,auto,poly,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.10497237569060773,0.10526315789473684,0.06779661016949153,0.1307901907356948,0.12568306010928962,0.1069010789199641,0.022176630214841748,193
36.81802845001221,0.2839635316892998,11.501355266571045,0.18888602613983227,0.201,balanced,auto,rbf,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.924031007751938,0.9125,0.9027113237639554,0.9323076923076923,0.8821656050955414,0.9107431257838254,0.017469227091934655,135
23.19263873100281,1.2099443735444686,5.087577962875367,0.09971133425080464,0.201,balanced,auto,sigmoid,"{'svm__C': 0.201, 'svm__class_weight': 'balanced', 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9351432880844646,0.9361702127659575,0.9235474006116208,0.9491017964071856,0.9218989280245024,0.9331723251787463,0.009862542620431309,39
