,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada_boost_l__estimator,param_ada_boost_l__learning_rate,param_ada_boost_l__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,1.622802448272705,0.11858528172150458,0.04387731552124023,0.0141914131495264,LogisticRegression(),0.01,100,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 8}",0.9293233082706767,0.9288956127080181,0.9107981220657277,0.9395770392749244,0.906060606060606,0.9229309376759905,0.012532723183292684,117
21,1.7473391532897948,0.09559964128945143,0.0439516544342041,0.014968729618938699,LogisticRegression(),0.01,100,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 10}",0.9321266968325792,0.9279279279279279,0.9166666666666666,0.9408194233687405,0.9033232628398792,0.9241727955271587,0.013004005287357052,115
22,1.9847797870635986,0.10803877628768131,0.06013531684875488,0.011149234313385133,LogisticRegression(),0.01,100,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 12}",0.9307228915662651,0.9369369369369369,0.9296636085626911,0.9413533834586466,0.9055472263868066,0.9288448093822692,0.012400983444899866,81
23,2.130785512924194,0.036148786235303335,0.06605854034423828,0.010438970529599145,LogisticRegression(),0.01,100,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 15}",0.9279279279279279,0.9409984871406959,0.9278033794162827,0.9505247376311844,0.918918918918919,0.933234690207002,0.011151900762854747,46
24,2.5339147090911864,0.08774732721588126,0.07172675132751465,0.01823831648705185,LogisticRegression(),0.01,100,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 25}",0.9311377245508982,0.939209726443769,0.9327217125382263,0.9533834586466166,0.9198184568835098,0.935254215812604,0.011008517038615143,42
25,2.4146710872650146,0.0634435787402958,0.053957796096801756,0.00812700702441672,LogisticRegression(),0.01,200,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 8}",0.9361069836552749,0.9347181008902077,0.9244992295839753,0.9373134328358209,0.9093610698365527,0.9283997633603663,0.010549522758564687,91
26,2.460911226272583,0.046521473214578675,0.054584074020385745,0.009031738945098842,LogisticRegression(),0.01,200,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 10}",0.9315476190476191,0.9287833827893175,0.926829268292683,0.9431137724550899,0.9050445103857567,0.9270637105940933,0.012373902652178444,106
27,2.508400011062622,0.07489059476887339,0.05794038772583008,0.008321204306685521,LogisticRegression(),0.01,200,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 12}",0.930576070901034,0.9375,0.9298780487804879,0.9422222222222222,0.9077380952380952,0.9295828874283678,0.01183809051302946,73
28,2.809114599227905,0.10838693130334671,0.05926499366760254,0.016654872686229394,LogisticRegression(),0.01,200,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 15}",0.9317507418397626,0.9511111111111111,0.9365558912386707,0.9554896142433235,0.924219910846954,0.9398254538559643,0.01176567861859763,31
29,3.22305850982666,0.08497624344690329,0.05987558364868164,0.008680847753331543,LogisticRegression(),0.01,200,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 25}",0.9380530973451328,0.9418777943368107,0.9381598793363499,0.9584569732937686,0.9285714285714286,0.9410238345766981,0.009764563558483407,19
30,2.9096168518066405,0.06967109148919771,0.0583683967590332,0.01301755554944175,LogisticRegression(),0.01,300,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 8}",0.9335302806499262,0.930780559646539,0.9298780487804879,0.9376854599406528,0.9056047197640118,0.9274958137563235,0.011277661774549468,104
31,3.1165915966033935,0.04543588821096417,0.06161818504333496,0.011334632416559397,LogisticRegression(),0.01,300,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 10}",0.9319526627218935,0.9321533923303835,0.9272727272727272,0.9479940564635958,0.9037037037037037,0.9286153084984606,0.014293931725795106,86
32,3.292700672149658,0.06599075053039445,0.06433610916137696,0.01332775307755146,LogisticRegression(),0.01,300,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 12}",0.9337260677466863,0.9392592592592592,0.9317147192716236,0.9408284023668639,0.9098966026587888,0.9310850102606445,0.01111820463215492,58
33,3.6266395092010497,0.0829135676382954,0.06742615699768066,0.01243308548890993,LogisticRegression(),0.01,300,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 15}",0.9294117647058824,0.9542097488921714,0.9387144992526159,0.9601181683899557,0.9228486646884273,0.9410605691858105,0.014205387497290221,17
34,4.266353034973145,0.0785682872385858,0.06854939460754395,0.005829476725313745,LogisticRegression(),0.01,300,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 25}",0.933920704845815,0.9423929098966026,0.9383458646616541,0.9554896142433235,0.9258160237388724,0.9391930234772534,0.009831350746508852,36
35,3.6601940631866454,0.11050289102335363,0.07520098686218261,0.017324598807927166,LogisticRegression(),0.01,400,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 400, 'pca__n_components': 8}",0.9321533923303835,0.9309838472834068,0.9335347432024169,0.9376854599406528,0.9088235294117647,0.9286361944337249,0.010161779730671328,85
36,3.812866735458374,0.07617718027897562,0.07247366905212402,0.005502424767461179,LogisticRegression(),0.01,400,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 400, 'pca__n_components': 10}",0.9309838472834068,0.9323529411764706,0.9260935143288085,0.9451851851851852,0.9026548672566371,0.9274540710461017,0.013911881832629532,105
37,4.1030933380126955,0.0958124084713078,0.08162670135498047,0.017812383619207256,LogisticRegression(),0.01,400,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 400, 'pca__n_components': 12}",0.9323529411764706,0.9364844903988183,0.9381598793363499,0.9408284023668639,0.9104258443465492,0.9316503115250103,0.010963145583384392,54
38,4.441107511520386,0.0814273322564461,0.08177342414855956,0.008183685832089966,LogisticRegression(),0.01,400,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 400, 'pca__n_components': 15}",0.931185944363104,0.9513991163475699,0.9359165424739195,0.9601181683899557,0.9214814814814815,0.9400202506112061,0.01394256958163804,27
39,5.224962854385376,0.14126548345735754,0.09542961120605468,0.006771993013082609,LogisticRegression(),0.01,400,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.01, 'ada_boost_l__n_estimators': 400, 'pca__n_components': 25}",0.9354838709677419,0.9455081001472754,0.9445277361319341,0.96,0.9260355029585798,0.9423110420411062,0.01130962054350074,7
40,1.6650898456573486,0.04234763694600612,0.03238177299499512,0.00719711367316434,LogisticRegression(),0.02,100,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 8}",0.9361069836552749,0.9347181008902077,0.9244992295839753,0.9373134328358209,0.9093610698365527,0.9283997633603663,0.010549522758564687,91
41,1.9303876399993896,0.07213419406798963,0.05259261131286621,0.004421220568339073,LogisticRegression(),0.02,100,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 10}",0.9315476190476191,0.9287833827893175,0.926829268292683,0.9431137724550899,0.9050445103857567,0.9270637105940933,0.012373902652178444,106
42,2.2179092884063722,0.04048509459809972,0.05738372802734375,0.007447144221571284,LogisticRegression(),0.02,100,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 12}",0.9303703703703704,0.9375,0.9298780487804879,0.9422222222222222,0.9093610698365527,0.9298663422419267,0.011239758704445197,70
43,2.2630874156951903,0.08862925124716488,0.06931662559509277,0.01996492023038459,LogisticRegression(),0.02,100,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 15}",0.9276218611521418,0.9495548961424333,0.9349470499243571,0.9554896142433235,0.924219910846954,0.9383666664618419,0.012211856017388764,40
44,2.619688034057617,0.031808097373054095,0.057400083541870116,0.0028484802269874558,LogisticRegression(),0.02,100,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 25}",0.9364844903988183,0.9420505200594353,0.9383458646616541,0.957037037037037,0.9287833827893175,0.9405402589892524,0.009315721526137646,21
45,2.540016746520996,0.13608505808328733,0.046160316467285155,0.004763380730410077,LogisticRegression(),0.02,200,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.02, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 8}",0.930780559646539,0.9309838472834068,0.9335347432024169,0.9376854599406528,0.9088235294117647,0.9283616278969561,0.010081265036487382,94
