,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28,0.25884761810302737,0.031671938122650255,232.38880338668824,0.7676691497426699,1,2.3,uniform,"{'knn__n_neighbors': 1, 'knn__p': 2.3, 'knn__weights': 'uniform'}",0.5769230769230769,0.5662847790507365,0.5603576751117735,0.6298003072196621,0.5442834138486312,0.575529850430776,0.02911779389977122,101
29,0.3294975280761719,0.03406305557178044,224.1785575389862,5.397548903381219,1,2.3,distance,"{'knn__n_neighbors': 1, 'knn__p': 2.3, 'knn__weights': 'distance'}",0.5769230769230769,0.5662847790507365,0.5603576751117735,0.6298003072196621,0.5442834138486312,0.575529850430776,0.02911779389977122,101
30,0.234618616104126,0.027202369088164063,219.7045500278473,0.8789995094181099,1,3.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 3.0, 'knn__weights': 'uniform'}",0.6442953020134228,0.6420047732696897,0.5959271168274384,0.6682188591385332,0.5747724317295189,0.6250436965957207,0.034343477932055735,63
31,0.2293954849243164,0.0334094393284896,216.67814555168152,0.8944215437688222,1,3.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 3.0, 'knn__weights': 'distance'}",0.6442953020134228,0.6420047732696897,0.5959271168274384,0.6682188591385332,0.5747724317295189,0.6250436965957207,0.034343477932055735,63
32,0.24205598831176758,0.018683662851499708,218.57410926818847,2.8391997671016043,1,4.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 4.0, 'knn__weights': 'uniform'}",0.6023657870791629,0.596958174904943,0.5784832451499118,0.6149532710280374,0.6061293984108967,0.5997779753145903,0.012155194381040877,69
33,0.23693089485168456,0.03165858737101241,221.9044849872589,0.41468046747602155,1,4.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 4.0, 'knn__weights': 'distance'}",0.6023657870791629,0.596958174904943,0.5784832451499118,0.6149532710280374,0.6061293984108967,0.5997779753145903,0.012155194381040877,69
34,0.2551444053649902,0.030707347333204918,218.4582729816437,0.5154374881992483,1,10.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 10.0, 'knn__weights': 'uniform'}",0.6520681265206812,0.6640106241699867,0.6258823529411764,0.6728232189973615,0.6448362720403022,0.6519241189339017,0.01619436865133331,59
35,0.2351682662963867,0.020738020355660605,217.73873581886292,0.6019225928776305,1,10.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 10.0, 'knn__weights': 'distance'}",0.6520681265206812,0.6640106241699867,0.6258823529411764,0.6728232189973615,0.6448362720403022,0.6519241189339017,0.01619436865133331,59
36,0.230192232131958,0.028171595136565183,214.62490315437316,0.38381093529142224,3,0.1,uniform,"{'knn__n_neighbors': 3, 'knn__p': 0.1, 'knn__weights': 'uniform'}",0.017341040462427744,0.017391304347826087,0.0058309037900874635,0.011594202898550725,0.017341040462427744,0.013899698392263954,0.004610807704520322,379
37,0.2237328052520752,0.04045512461556188,214.7969557285309,0.27633173249898224,3,0.1,distance,"{'knn__n_neighbors': 3, 'knn__p': 0.1, 'knn__weights': 'distance'}",0.017341040462427744,0.017391304347826087,0.0058309037900874635,0.011594202898550725,0.017341040462427744,0.013899698392263954,0.004610807704520322,379
38,0.24830703735351561,0.02082491982851742,215.1032386302948,0.2949783200936027,3,0.5,uniform,"{'knn__n_neighbors': 3, 'knn__p': 0.5, 'knn__weights': 'uniform'}",0.28641975308641976,0.2506393861892583,0.24040920716112532,0.3121951219512195,0.2606516290726817,0.2700630194921409,0.026030202371752468,355
39,0.26170916557312013,0.02069002757850722,214.2725579738617,0.717743332424043,3,0.5,distance,"{'knn__n_neighbors': 3, 'knn__p': 0.5, 'knn__weights': 'distance'}",0.28641975308641976,0.2506393861892583,0.24040920716112532,0.3121951219512195,0.2606516290726817,0.2700630194921409,0.026030202371752468,355
40,0.24173803329467775,0.014178985247256547,213.2644434452057,1.012723392145572,3,0.9,uniform,"{'knn__n_neighbors': 3, 'knn__p': 0.9, 'knn__weights': 'uniform'}",0.4036697247706422,0.35096153846153844,0.3597122302158273,0.4302059496567506,0.3632075471698113,0.381551398054914,0.0303501940534837,291
41,0.25934524536132814,0.03318331690326898,211.30794196128846,0.38626793505751555,3,0.9,distance,"{'knn__n_neighbors': 3, 'knn__p': 0.9, 'knn__weights': 'distance'}",0.4036697247706422,0.35096153846153844,0.3597122302158273,0.4302059496567506,0.3632075471698113,0.381551398054914,0.0303501940534837,291
42,0.20779895782470703,0.037292035247259325,19.090832805633546,0.07627500680837948,3,1.0,uniform,"{'knn__n_neighbors': 3, 'knn__p': 1.0, 'knn__weights': 'uniform'}",0.4567627494456763,0.36363636363636365,0.3829787234042553,0.46875,0.37209302325581395,0.4088441719484218,0.04460563326509899,272
43,0.1835712432861328,0.007883003221238518,19.101725816726685,0.03541453457875664,3,1.0,distance,"{'knn__n_neighbors': 3, 'knn__p': 1.0, 'knn__weights': 'distance'}",0.4567627494456763,0.36363636363636365,0.3829787234042553,0.46875,0.37209302325581395,0.4088441719484218,0.04460563326509899,272
44,0.20362553596496583,0.03517725992840166,217.74000849723816,0.42584451963444026,3,1.1,uniform,"{'knn__n_neighbors': 3, 'knn__p': 1.1, 'knn__weights': 'uniform'}",0.46153846153846156,0.38207547169811323,0.42201834862385323,0.4778761061946903,0.39359267734553777,0.4274202130801312,0.03725447600579952,251
45,0.26243228912353517,0.051673927318247236,219.9555142879486,2.2850722438451965,3,1.1,distance,"{'knn__n_neighbors': 3, 'knn__p': 1.1, 'knn__weights': 'distance'}",0.46153846153846156,0.38207547169811323,0.42201834862385323,0.4778761061946903,0.39359267734553777,0.4274202130801312,0.03725447600579952,251
46,0.23376865386962892,0.026844663313654694,222.46331295967101,0.1917503978223414,3,1.2,uniform,"{'knn__n_neighbors': 3, 'knn__p': 1.2, 'knn__weights': 'uniform'}",0.46956521739130436,0.40093240093240096,0.42081447963800905,0.49344978165938863,0.39819004524886875,0.4365903849739944,0.03824993508612077,239
47,0.26924643516540525,0.036365612001159744,221.8279173374176,0.5725550070983099,3,1.2,distance,"{'knn__n_neighbors': 3, 'knn__p': 1.2, 'knn__weights': 'distance'}",0.46956521739130436,0.40093240093240096,0.42081447963800905,0.49344978165938863,0.39819004524886875,0.4365903849739944,0.03824993508612077,239
48,0.29381518363952636,0.03764383952915724,221.73036227226257,0.3964274882405254,3,1.4,uniform,"{'knn__n_neighbors': 3, 'knn__p': 1.4, 'knn__weights': 'uniform'}",0.4595744680851064,0.4246575342465753,0.46220302375809935,0.5148936170212766,0.41964285714285715,0.456194300050783,0.03412833334745313,230
