,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logit_13__C,param_logit_13__class_weight,param_logit_13__l1_ratio,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
198,4.128332328796387,0.06969398171259358,0.07196254730224609,0.008455321189799645,0.05,,1.0,80,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 80}",0.9384164222873901,0.9417040358744395,0.9383458646616541,0.957037037037037,0.9258160237388724,0.9402638767198788,0.00999244994295142,1914
199,4.498043441772461,0.07825528617464492,0.09096198081970215,0.02337150872050398,0.05,,1.0,90,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 90}",0.9428989751098097,0.9476831091180867,0.9429429429429429,0.9601181683899557,0.9287833827893175,0.9444853156700225,0.010060398136177167,660
200,4.755475997924805,0.047605116990694384,0.07417736053466797,0.00649718393834906,0.05,,1.0,100,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 100}",0.9427312775330396,0.9418777943368107,0.9429429429429429,0.9585798816568047,0.9283582089552239,0.9428980210849642,0.009574942002601061,1225
201,8.349668884277344,0.18266266165397413,0.12323288917541504,0.01255599807676367,0.05,,1.0,200,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 200}",0.9384164222873901,0.9461077844311377,0.9415292353823088,0.9616519174041298,0.9260355029585798,0.9427481724927093,0.011560291990519108,1265
202,35.96532135009765,0.3492907091887269,0.5452261924743652,0.08980005773423023,0.05,,1.0,1000,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 1000}",0.9366715758468336,0.9479940564635958,0.9367469879518072,0.9513991163475699,0.9303703703703704,0.9406364213960355,0.007825725433655903,1844
203,94.12013521194459,0.7150324072470042,1.093961524963379,0.05295803671982314,0.05,,1.0,2000,"{'logit_13__C': 0.05, 'logit_13__class_weight': None, 'logit_13__l1_ratio': 1, 'pca__n_components': 2000}",0.9396170839469808,0.9450222882615156,0.9323308270676691,0.9557522123893806,0.9283582089552239,0.940216124124154,0.009670741060090382,1919
204,1.4059364795684814,0.05238471694131064,0.04609479904174805,0.014582481344030632,0.1,balanced,0.0,8,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 8}",0.9315866084425036,0.9315866084425036,0.9366715758468336,0.9385964912280702,0.9064748201438849,0.9289832208207592,0.011590592100318806,2384
205,1.3893016815185546,0.03913530463425417,0.03728694915771484,0.006318708894264723,0.1,balanced,0.0,10,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 10}",0.9319826338639653,0.938953488372093,0.9323529411764706,0.9551374819102749,0.9062049062049062,0.9329262903055421,0.015779199814900884,2183
206,1.5178926467895508,0.03600091037957744,0.036762332916259764,0.007455430362197333,0.1,balanced,0.0,12,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 12}",0.9335260115606936,0.9430656934306569,0.9406528189910979,0.9522431259044862,0.9101449275362319,0.9359265154846332,0.014212602002472804,2042
207,1.530104637145996,0.03198880268422481,0.03659353256225586,0.004189586737635073,0.1,balanced,0.0,15,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 15}",0.9377713458755427,0.956268221574344,0.9396170839469808,0.9575402635431918,0.9286754002911208,0.9439744630462361,0.011195482823921098,836
